subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
PcUj1dc8,0.082704004,0.182222699,0.275486799,0.279908574,0.195424782,0.195744577,0.152016207,0.159630146,0.052185753,0.164303051,0.09531018,0.066691374,0.113328685,0.133531393,0.080042708,0,0.405465108,0.693147181,Inf,0.693147181
PftjeXxz,0.074040524,0.120937917,0.137914161,0.186169423,0.225806669,0.257114909,0.30271995,0.182321557,0.188052232,0.056352937,0.047252885,0.083381609,0.032789823,0,0.028987537,0.09237332,0.046520016,0,0.125163143,0.117783036
PhCyuRvo,0.042254894,0.085358672,0.106843938,0.145515137,0.17944003,0.180425822,0.15189487,0.129432093,0.134249526,0.102478669,0.09265883,0.114113307,0.130053128,0.096849826,0.117783036,0.191055237,0.203598955,0.21511138,0.16034265,0.211309094
Q0xDqlUa,0.083346192,0.169412375,0.255038224,0.370859579,0.43036266,0.389960922,0.313657559,0.223143551,0.356674944,0.15415068,0.251314428,0.194156014,0.207639365,0.233614851,0.693147181,0.223143551,0.105360516,Inf,Inf,0.510825624
QJ2012XI,0.083295952,0.119999386,0.112706125,0.083487144,0.097422113,0.13146314,0.139761942,0.129677823,0.148420005,0.16507975,0.197825743,0.274436846,0.302280872,0.207639365,1.098612289,Inf,0.510825624,0.693147181,Inf,0.916290732
QLZHPS8I,0.08031889,0.187857555,0.29552525,0.338975367,0.304211374,0.254234138,0.163151641,0.162518929,0.3074847,0.174353387,0.167054085,0.236388778,0.223143551,0.15415068,Inf,0.693147181,0.318453731,0.287682072,0.287682072,0
QNEd2eGX,0.03262346,0.072323799,0.105432598,0.129255744,0.163934931,0.197130869,0.211874865,0.207332945,0.192371893,0.137399869,0.092249734,0.083999974,0.085861291,0.142563065,0.070951736,0.096849826,0.130620182,0.137201122,0.157185584,0.117783036
Qk66Dk9d,0.049335884,0.085307657,0.136281528,0.19637331,0.218450281,0.126151285,0.107710693,0.105868001,0.103435587,0.13119221,0.169899037,0.179971379,0.120627988,0.266628663,0.162518929,0.127833372,0.185717146,0.128617378,0.138836445,0.111225635
R8eFySk4,0.073021842,0.130937357,0.181245709,0.170729809,0.100925919,0.074107972,0.045256592,0.048790164,0.103989714,0.046520016,0.121360857,0.062520357,0.090971778,0.207639365,0.133531393,0.470003629,0.336472237,0.336472237,0.405465108,NaN
RFibHPt7,0.0533468,0.100767119,0.154342932,0.20556572,0.281451523,0.320579776,0.3735899,0.411507423,0.314710745,0.203228242,0.249654677,0.100083459,0.179048231,0.090151097,0.127155175,0.144249609,0.161268148,0.107630664,0.041672696,0.15415068
RJVU9j8P,0.049072918,0.117298925,0.127566923,0.144873669,0.152062996,0.085445206,0.043172172,0.030536724,0.029852963,0.09531018,0.048790164,0.087011377,0.089612159,0.113328685,0.054067221,0.15415068,0,0.287682072,0.074107972,0.182321557
RZ584xig,0.076642685,0.12300347,0.173403966,0.221395299,0.264449771,0.311384185,0.330774216,0.36772478,0.53680111,0.472906389,0.268263987,0.293761119,0.178691789,0.251314428,0.352821375,0.217723484,0.133531393,0.231801614,0.268263987,0.162518929
RhRnfeBp,0.039232985,0.088793442,0.118655582,0.157008938,0.180497495,0.186261894,0.166496516,0.100643526,0.068992871,0.03509132,0.070067563,0.080688911,0.054658413,0.074801213,0.048009219,0.085522173,0.101096117,0.038466281,0.075985907,0.105360516
RuSZ5rNP,0.040036823,0.087411938,0.118930483,0.158042424,0.178774555,0.200006905,0.138971116,0.093434007,0.047502334,0.030962226,0.032789823,0.017241806,0.038714512,0.045809536,0.033901552,0.080042708,0.021506205,0,0.037740328,0
Rxka2Dfe,0.058729333,0.092276936,0.126914532,0.1680356,0.182625093,0.172842813,0.118716307,0.08907963,0.106222213,0.068402727,0.043485112,0.027398974,0.057158414,0.085766822,0.127833372,0.068992871,0.111225635,0.133531393,0.036367644,0.204794413
RyeFHRQj,0.092487674,0.123936901,0.149260695,0.180670029,0.259957524,0.268263987,0.292387963,0.310154928,0.47957308,0.287682072,0.310154928,0.236388778,0.287682072,0.287682072,0.262364264,0.271933715,0.84729786,1.252762968,Inf,Inf
SeLh3ENk,0.098620217,0.118530476,0.109266771,0.085990448,0.079464171,0.033616611,0.026668247,0.050430854,0.072320662,0.075985907,0.117783036,0.318453731,0.09531018,0,0.405465108,0.405465108,0.693147181,NaN,NaN,0
Sh2ZCYBZ,0.095038231,0.143960689,0.190472769,0.213093215,0.177681177,0.107888962,0.098440073,0.103184236,0.158224005,0.143100844,0.127833372,0.090971778,0.207639365,0.559615788,Inf,0.693147181,0.693147181,NaN,NaN,NaN
SnYQMMBW,0.054897788,0.107802364,0.178124768,0.252513613,0.309237076,0.347143498,0.444251133,0.324239668,0.211309094,0.197359434,0.179340929,0.128617378,0.162518929,0.139761942,0.136575535,0.217723484,0.16034265,0.117783036,0,0.146603474
T3aA8TCd,0.086358214,0.164863677,0.242195649,0.330890827,0.400160056,0.492476485,0.510825624,0.176930708,0.162518929,0.173271721,0.098440073,0.073025135,0.133531393,0.112477983,0.121360857,0.076961041,0,0.09237332,0.143100844,0.182321557
TQyNNoOf,0.068860948,0.136970648,0.218490216,0.204399724,0.26438651,0.234316852,0.174353387,0.149812278,0.102478669,0.120363682,0.139761942,0.121360857,0.161268148,0.186585956,0.216223108,0.231801614,0.196710294,0.200670695,0.374693449,0.223143551
U0NC3iwE,0.070341233,0.143494515,0.205133367,0.306730267,0.34509298,0.442736503,0.387115969,0.182321557,0.162518929,0.187211542,0.207639365,0.191055237,0.117783036,0.175890666,0.223143551,0.379489622,0.245122458,0.223143551,0.223143551,0.405465108
UDXlpEgF,0.066519733,0.120740846,0.18968684,0.264117626,0.299110768,0.267160437,0.227057451,0.171850257,0.111225635,0.038714512,0.041385216,0.020202707,0.031748698,0.068992871,0.088947486,0.046520016,0.068992871,0,0.105360516,0.054067221
